Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Regular price,Categories,Tags,Images,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
variable,ABC-960,960 Kalena Camisole,1,0,visible,"Created with a scooped neckline, foam cups & fully adjustable double straps that provide support and style. The Kalena Camisole sits nicely below hips to prevent rising & fits to flatter all body types. No bra needed. This pocketed camisole is designed for full support, with an integrated shelf bra to support breast forms and/or shapers.","Experience the soft-on-skin comfort & free flow flexibility of the Kalena Camisole. Perfect for layering or lounging, our camisole features high-quality design & versatility for today’s woman.",taxable,1,,Recovery,Bras,"https://americanbreastcare.com/wp-content/uploads/2019/05/960-Kalena-Camisole-WHITE.png, https://americanbreastcare.com/wp-content/uploads/2019/05/960-black.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/960-blush.webp",,Color,"Black, Blush, White",1,1,Size,"S, M, L, XL, XXL, XXXL",1,1
variation,ABC-960-V,960 Kalena Camisole,1,,visible,,,taxable,1,30.50,,,,ABC-960,Color,,,1,Size,,,1
variable,ABC-525,525 Massage Bra®,1,0,visible,"Constructed with a textured fabric that provides a cool, comfortable massage-like wear experience. Padded, stretch straps provide a comfortable fit. Wide, elastic band provides a comfortable and supportive fit.",Experience the massage-like feel and cooling comfort of ABC’s Massage Bra®. Our seamless design features a textured fabric that breathes as you wear for soft-on-skin comfort that you’ll love! The featured padded straps and a wider band offer phenomenal support for easy wear.,taxable,1,,Mastectomy Bras,Bras,"https://americanbreastcare.com/wp-content/uploads/2019/05/525-Denim-Blue-DB-1.png, https://americanbreastcare.com/wp-content/uploads/2019/05/525-white.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/525-Pink.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/525-clearwater.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/525-black.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/525-beige.webp",,Color,"Beige, Black, White, Clear Water, Pink, Denim Blue",1,1,Size,"34 AA, 36 AA, 38 AA, 40 AA, 42 AA, 44 AA, 46 AA, 34 AA – A, 36 AA – A, 38 AA – A, 40 AA – A, 42 AA – A, 44 AA – A, 32 A, 34 A, 36 A, 38 A, 40 A, 42 A, 44 A, 46 A, 48 A, 34 B – DD, 36 B – DD, 38 B – DD, 40 B – DD, 42 B – DD, 44 B – DD, 46 B – DD, 48 B – DD, 50 B – DD, 32 B – C, 34 B – C, 36 B – C, 38 B – C, 40 B – C, 42 B – C, 44 B – C, 46 B – C, 48 B – C, 50 B – C, 34 D – DD, 36 D – DD, 38 D – DD, 40 D – DD, 42 D – DD, 44 D – DD, 46 D – DD, 48 D – DD, 50 D – DD",1,1
variation,ABC-525-V,525 Massage Bra®,1,,visible,,,taxable,1,35.50,,,,ABC-525,Color,,,1,Size,,,1
variable,ABC-524,524 Invisible Bra,1,0,visible,"Featured wide band and fully adjustable shoulder straps provide comfortable, dependable support, making it your ideal choice for everyday wear.","So Comfortable, You’ll Forget It’s There Experience the sensation of barely-there-comfort with the Invisible Bra. This bra features a high coverage wide band and full adjustable shoulder straps that maximize support while enhancing comfort. Our seamless design flows effortlessly over your curves, offering a flattering silhouette and a no-show look under clothing. Enjoy the perfect balance of weightless comfort + smoothing support with the Invisible Bra, By ABC.",taxable,1,,Mastectomy Bras,Bras,"https://americanbreastcare.com/wp-content/uploads/2025/07/524-img-1.webp, https://americanbreastcare.com/wp-content/uploads/2025/07/524-img-2-back-smoothining.webp",,Color,Soft Mocha,1,1,Size,"S, M, L, XL, XXL",1,1
variation,ABC-524-V,524 Invisible Bra,1,,visible,,,taxable,1,35.00,,,,ABC-524,Color,,,1,Size,,,1
variable,ABC-521,521 Active Sport Bra,1,0,visible,"Our Active Sport Bra offers unmatched comfort! Featuring a front zipper + comfort cover and thick straps that ease shoulder tension. Our design combines style and strength, empowering survivors at every level of fitness to move with confidence! Join the movement and redefine what it means to be unstoppable with the Active Sport Bra.","Ideal for recovery and truncal compression maintenance Compression: Low* Our NEW Active Sport Bra offers unmatched comfort! Featuring a front zipper + comfort cover and thick straps that ease shoulder tension. Our design combines style and strength, empowering survivors at every level of fitness to move with confidence! Join the movement and redefine what it means to be unstoppable with the Active Sport Bra, by ABC. Sizes:",taxable,1,,Mastectomy Bras,Active & Leisure Bras,"https://americanbreastcare.com/wp-content/uploads/2023/11/521-sand.webp, https://americanbreastcare.com/wp-content/uploads/2023/11/521-backsand.webp",,Color,Sand,1,1,Size,"S, M, L, XL",1,1
variation,ABC-521-V,521 Active Sport Bra,1,,visible,,,taxable,1,30.50,,,,ABC-521,Color,,,1,Size,,,1
variable,ABC-520,520 Active Recovery Bra,1,0,visible,"This recovery bra features a zipper front with top and bottom G-hooks that provide secure wear. Adjustable straps with hook and eye closure ensure a perfect fit, while the wide band and side panels add extra support and comfort against sensitive skin.","Ideal for recovery and truncal compression maintenance Compression: Moderate* Ease into an active lifestyle with ABC’s 520 Active Recovery Bra! This bra was specially designed to optimize support while giving superior comfort. Double layers of breathable fabric and seamless pocketed cups offer soft compression. This recovery bra features a zipper front with top and bottom G-hooks that provide secure wear. Adjustable straps with hook and eye closure ensure a perfect fit, while the wideband and side panels add extra support and comfort against sensitive skin.",taxable,1,,Mastectomy Bras,Active & Leisure Bras,"https://americanbreastcare.com/wp-content/uploads/2020/11/520-blackv2.webp, https://americanbreastcare.com/wp-content/uploads/2020/11/520-Pink.webp, https://americanbreastcare.com/wp-content/uploads/2020/11/520-pink2.webp, https://americanbreastcare.com/wp-content/uploads/2020/11/520-pink3.webp",,Color,"Black, Pink",1,1,Size,"S, M, L, XL, XXL, XXXL",1,1
variation,ABC-520-V,520 Active Recovery Bra,1,,visible,,,taxable,1,35.50,,,,ABC-520,Color,,,1,Size,,,1
variable,ABC-516,516 Silhouette Bra,1,0,visible,"Designed with a thin layer of soft foam for a smooth, polished appearance. The sophisticated construction provides comfort through the contoured shoulder straps and security is enhanced with the heart-shaped strap ring. Side and back panels are lined with Power Mesh for additional underarm support and smoothness.","You’ll love the sleek sophistication of the Silhouette Bra by American Breast Care. Our newest signature style features soft foam that flows over curves for a smooth feel and polished look. Contoured shoulder straps with heart-shaped band connections keep straps comfortably in place, while Power Mesh side and back panels provide effortless smoothing support. Experience elegance redefined with ABC’s Silhouette Bra.",taxable,1,,Mastectomy Bras,Bras,"https://americanbreastcare.com/wp-content/uploads/2020/07/516-coolgrey.webp, https://americanbreastcare.com/wp-content/uploads/2020/07/516-black.webp, https://americanbreastcare.com/wp-content/uploads/2020/07/516-coollatte.webp",,Color,"Cool Grey, Cool Latte, Black",1,1,Size,"32 A – DD, 34 A – DD, 36 A – DD, 38 A – DD, 40 A – DD",1,1
variation,ABC-516-V,516 Silhouette Bra,1,,visible,,,taxable,1,27.00,,,,ABC-516,Color,,,1,Size,,,1
variable,ABC-515,515 Soft Shape T-Shirt Bra,1,0,visible,"Constructed with a thin layer of foam for a smooth, enhanced silhouette and microfiber fabric for a sleek design and cooling comfort. Side panels are lined with Power Mesh fabric for additional underarm support. Added Lycra provides a stretch-perfect fit. Straps are padded for added comfort.","Enjoy the sleek look and feel of the Soft Shape T-Shirt Bra, by ABC! Our Soft Shape T-Shirt Bra is designed with a thin layer of foam to smooth and enhance, providing a flattering silhouette. ABC’s Power Mesh fabric provides additional support and padded straps give optimal comfort making this the perfect everyday bra!",taxable,1,,Mastectomy Bras,Bras,"https://americanbreastcare.com/wp-content/uploads/2019/05/515-white.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/515-black.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/515-Beige.webp",,Color,"Beige, White, Black",1,1,Size,"34 AA – B, 36 AA – B, 38 AA – B, 40 AA – B, 42 AA – B, 44 AA – B, 34 C, 36 C, 38 C, 40 C, 36 D, 38 D, 40 D, 38 E, 40 E",1,1
variation,ABC-515-V,515 Soft Shape T-Shirt Bra,1,,visible,,,taxable,1,30.00,,,,ABC-515,Color,,,1,Size,,,1
variable,ABC-514,514 Princess Lace Bra,1,0,visible,"Created with soft, fiber-filled cups that provide lift and separation. The beautiful lace overlay across the bra & stylish, adjustable straps brings sophisticated elegance to this supportive bra.","Introducing the Princess Lace Bra! The newest addition to ABC’s signature collection, our Princess Lace Bra seamlessly blends elegance with comfort & softness for a bra that feels just as amazing as it looks. The beautiful lace detail across the band & adjustable straps bring sophisticated elegance to this show stopper!",taxable,1,,Mastectomy Bras,Bras,"https://americanbreastcare.com/wp-content/uploads/2019/11/514-blackchampaign.webp, https://americanbreastcare.com/wp-content/uploads/2019/11/514-black-champagne.png",,Color,Black Champagne,1,1,Size,"34 A - D, 36 A - D, 38 A - D, 40 A - D, 42 A - D",1,1
variation,ABC-514-V,514 Princess Lace Bra,1,,visible,,,taxable,1,29.50,,,,ABC-514,Color,,,1,Size,,,1
variable,ABC-Style: 511,511 Regalia Bra,1,0,visible,Constructed with a three part cup for optimal support for large sizes and padded straps for a comfortable fit. Embroidered floral design exudes both a regal and elegant feel.,"Feel like a queen in the Regalia Bra by ABC! Designed for optimal comfort and support, this bra features padded straps and 3 part cups, making it great for larger sizes. The floral embroidered detail adds a regal touch of beauty for a polished look that you’ll love.",taxable,1,,Mastectomy Bras,Bras,"https://americanbreastcare.com/wp-content/uploads/2019/05/511-elegantblue.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/511-Beige.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/511-Black.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/511-Cool-Grey.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/511-DeepPurple.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/511-white.webp",,Color,"Beige, Black, Cool Grey, Deep Purple, White, Elegant Blue",1,1,Size,"38 A, 40 A, 42 A, 44 A, 46 A, 48 A, 50 A, 34 B – D, 36 B – D, 38 B – D, 40 B – D, 42 B – D, 44 B – D, 46 B – D, 48 B – D, 50 B – D, 36 DD, 38 DD, 40 DD, 42 DD, 44 DD, 46 DD, 48 DD, 50 DD, 36 DD – F, 38 DD – F, 40 DD – F, 42 DD – F, 44 DD – F, 46 DD – F, 36 F, 38 F, 40 F, 42 F, 44 F, 46 F, 48 F, 36 G, 38 G, 40 G, 42 G, 44 G, 36 G – H, 38 G – H, 40 G – H, 42 G – H, 44 G – H, 46 G – H",1,1
variation,ABC-Style: 511-V,511 Regalia Bra,1,,visible,,,taxable,1,29.00,,,,ABC-Style: 511,Color,,,1,Size,,,1
variable,ABC-Style #: 503,503 Embrace Bra,1,0,visible,"Constructed with a princess seam for a flattering fit. High neckline provides added coverage and high side panels give extra underarm support. Wide, stretchy straps make for a comfortable fit. Bra cups feature a beautiful lace design which can double as a camisole.",ABC’s Embrace Bra blends functional comfort with soft elegance for a look that you’ll love! The high neckline & side panels provide extra support and coverage. Our intricate lace detail on the ultra-soft straps and neckline make this bra a perfect double for a camisole.,taxable,1,,Mastectomy Bras,Bras,"https://americanbreastcare.com/wp-content/uploads/2019/05/503-SoftMocha.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/503-White.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/503-Candelight.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/503-Black.webp",,Color,"Black, Soft Mocha, Candel Light, White",1,1,Size,"34 AA, 36 AA, 38 AA, 40 AA, 34 A - D, 36 A - D, 38 A - D, 40 A - D, 42 A - D, 44 A - D, 36 DD, 38 DD, 40 DD, 42 DD, 44 DD",1,1
variation,ABC-Style #: 503-V,503 Embrace Bra,1,,visible,,,taxable,1,30.00,,,,ABC-Style #: 503,Color,,,1,Size,,,1
variable,ABC-203,203 Rose Contour Underwire Bra,1,0,visible,"Created with soft, fiber fill cups that provide lift and separation. Jacquard fabric features the ABC signature rose for feminine flair. Stretch straps make for a comfortable fit. Designed with an underwire that helps lift and separate the bust line.","ABC’s Rose Contour Underwire Bra blends function with beauty for a bra that you’ll love. Soft, fiber filled cups with underwire, provide enhanced lift and added support. Our jacquard pattern design, featuring ABC’s signature rose, adds the perfect touch of feminine elegance to this timeless bra.",taxable,1,,Mastectomy Bras,Bras,https://americanbreastcare.com/wp-content/uploads/2019/05/203-beige.webp,,Color,Beige,1,1,Size,"36 B – DDDD, 38 B – DDDD, 40 B – DDDD, 42 B – DDDD, 44 B – DDDD, 46 B – DDDD",1,1
variation,ABC-203-V,203 Rose Contour Underwire Bra,1,,visible,,,taxable,1,23.50,,,,ABC-203,Color,,,1,Size,,,1
variable,ABC-137,137 Lace Cami Soft Cup Bra,1,0,visible,Designed with soft cups that offer maximum coverage for greater support & comfort. This bra features a beautiful lace neckline that provides a touch of modest elegance.,Feel and look your best in Lace Cami Soft Cup Bra by ABC! Designed with soft cups that offer maximum coverage for greater support & comfort. This bra features a beautiful lace neckline that provides a touch of modest elegance.,taxable,1,,Mastectomy Bras,Bras,https://americanbreastcare.com/wp-content/uploads/2023/02/137-black.webp,,Color,Black,1,1,Size,"34 B – D, 36 B – D, 38 B – D, 40 B – D, 42 B – D",1,1
variation,ABC-137-V,137 Lace Cami Soft Cup Bra,1,,visible,,,taxable,1,26.00,,,,ABC-137,Color,,,1,Size,,,1
variable,ABC-136,136 Comfy Classic Bra,1,0,visible,"Created with soft, molded cups and removable foam pads to retain your natural silhouette. The wide, fixed shoulder straps and adjustable hook/eye back closure allow for a comfortable fit. The Comfy Classic’s seamless, smooth fabric is perfect for layering under clothing.","Rejoice in the remarkable comfort and softness with ABC’s Comfy Classic. The latest addition to our Comfy Collection, the Comfy Classic maintains the seamless look and soft touch of the original Comfy Bra with added benefits, like soft, wide straps and ribbed panels that offer outstanding support. Molded cups enhance your natural shape while the padded hook and eye closure ensures a perfect fit every time.",taxable,1,,Mastectomy Bras,Active & Leisure Bras,"https://americanbreastcare.com/wp-content/uploads/2019/11/136-Black.webp, https://americanbreastcare.com/wp-content/uploads/2019/11/136-White.webp",,Color,"Black, Pink, Natural, White",1,1,Size,"S, M, L, XL",1,1
variation,ABC-136-V,136 Comfy Classic Bra,1,,visible,,,taxable,1,16.00,,,,ABC-136,Color,,,1,Size,,,1
variable,ABC-135,135 Lace Soft Cup Bra,1,0,visible,Designed with soft cups and a lacy neckline for feminine flair. The wider side panels under the arm allow for additional coverage. Supportive straps and leotard back provides a comfortable fit.,"Feel and look your best in Lace Soft Cup Bra by ABC! Our feminine design is equal parts beauty and function. The soft band and leotard-back stretch to hug and contour your body, offering comfortable support. A delicate lace overlay extends across each cup and strap to accentuate the reﬁned beauty of this style.",taxable,1,,Mastectomy Bras,Bras,"https://americanbreastcare.com/wp-content/uploads/2019/11/135-Sand.webp, https://americanbreastcare.com/wp-content/uploads/2019/11/135-White.webp",,Color,"Sand, White",1,1,Size,"34 A – D, 36 A – D, 38 A – D, 40 A – D, 42 A – D, 44 A – D, 46 A – D, 36 DD – DDD, 38 DD – DDD, 40 DD – DDD, 42 DD – DDD, 44 DD – DDD, 46 DD – DDD",1,1
variation,ABC-135-V,135 Lace Soft Cup Bra,1,,visible,,,taxable,1,24.50,,,,ABC-135,Color,,,1,Size,,,1
variable,ABC-134,134 Satin Trim T-Shirt Bra,1,0,visible,"Constructed with foam molded, seamless cups to provide a supportive, smooth fit. Bra band is designed to contour to the body. Satin trimmed straps and cups give this t-shirt bra elegance.","Enjoy subtle femininity with ABC’s Satin Trim T-Shirt Bra. ABC’s classic design presents a seamless look you’ll love and features foam molded cups for a supportive, smooth fit. Our ultra-soft bra band contours your body, providing comfortable support while maintaining a sleek silhouette. Delicate jewel satin detailing adds a touch of polished sophistication.",taxable,1,,Mastectomy Bras,Bras,"https://americanbreastcare.com/wp-content/uploads/2019/11/134-Satin-Trim-Bra-Black.png, https://americanbreastcare.com/wp-content/uploads/2019/11/134-Rose-Taupe.webp, https://americanbreastcare.com/wp-content/uploads/2019/11/134-white.webp, https://americanbreastcare.com/wp-content/uploads/2019/11/134-rose.webp",,Color,"Black, Rose, Taupe, White",1,1,Size,"32 AA, 34 AA, 36 AA, 38 AA, 32 A, 34 A, 36 A, 38 A, 40 A, 42 A, 32 B - D, 34 B - D, 36 B - D, 38 B - D, 40 B - D, 42 B - D, 44 B - D",1,1
variation,ABC-134-V,134 Satin Trim T-Shirt Bra,1,,visible,,,taxable,1,25.50,,,,ABC-134,Color,,,1,Size,,,1
variable,ABC-133,133 Rose Contour T-Back Bra,1,0,visible,"T-Back design keeps bra straps from slipping off the shoulders and evenly distributes weight across the shoulders and back. Created with soft, fiber fill cups that provide lift and separation. Jacquard fabric features the ABC signature rose for feminine flair. Stretch straps make for a comfortable fit.","ABC’s Rose Contour T-Back Bra blends function with beauty for a bra that you’ll love. Soft, fiber fill cups provide lift, while our T-Back design evenly distributes weight for added support and comfort. Our front hook & eye closure makes putting on/taking off a breeze; perfect for every day!",taxable,1,,Mastectomy Bras,Bras,https://americanbreastcare.com/wp-content/uploads/2019/05/133-Black.webp,,Color,"Beige, Black, Cocoa, White",1,1,Size,"34 A, 36 A, 38 A, 40 A, 42 A, 34 B, 36 B, 38 B, 40 B, 42 B, 44 B, 34 C - D, 36 C - D, 38 C - D, 40 C - D, 42 C - D, 44 C - D, 46 C - D",1,1
variation,ABC-133-V,133 Rose Contour T-Back Bra,1,,visible,,,taxable,1,27.00,,,,ABC-133,Color,,,1,Size,,,1
variable,ABC-132,132 Active Bra,1,0,visible,"The Active Bra is a front closing, wire-free sports bra with rounded neckline and racer back. Top and bottom zipper covers protect against skin irritation. With removable pads included, this comfortable bra works well for various sporting activities.","Comfortable, airy & sure to spice up any workout, the Active Bra by ABC is the perfect addition to your active wardrobe! This front closing, wire-free sports bra offers comfortable support. Our trendy, racerback design is easily concealed under most active/sportswear. Lightweight fabric enhances breathability, drying quickly to keep you comfortable.",taxable,1,,Mastectomy Bras,Bras,"https://americanbreastcare.com/wp-content/uploads/2025/08/132-GL-1.png, https://americanbreastcare.com/wp-content/uploads/2025/08/132-GL-2.png, https://americanbreastcare.com/wp-content/uploads/2025/04/132-Black.webp, https://americanbreastcare.com/wp-content/uploads/2025/04/132-Beige.webp",,Color,"Beige, Black, Galaxy Lime",1,1,Size,"S, M, L, XL",1,1
variation,ABC-132-V,132 Active Bra,1,,visible,,,taxable,1,21.50,,,,ABC-132,Color,,,1,Size,,,1
variable,ABC-131,131 Comfy Bra,1,0,visible,The Comfy Bra is designed with soft cups to maintain a natural shape with a seamless fit. Lightweight & extrasoft fabric hugs the body’s contours for a smooth feel; perfect for layering under favorite casual pieces. Adjustable back closure and removable straps allow for a customized fit.,"Experience the luxury of leisure with the Comfy Bra by ABC! An essential for your everyday loungewear, our Comfy Bra enhances your natural shape with a seamless fit. Our supple, lightweight fabric blend hugs close to your body’s contours for a smooth feel and soft comfort.",taxable,1,,Mastectomy Bras,Active & Leisure Bras,"https://americanbreastcare.com/wp-content/uploads/2019/05/131-Natural.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/131-Back-Black.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/131-Black-Back-2.webp",,Color,"Natural, Black",1,1,Size,"S, M, L, XL",1,1
variation,ABC-131-V,131 Comfy Bra,1,,visible,,,taxable,1,16.00,,,,ABC-131,Color,,,1,Size,,,1
variable,ABC-130,130 Molded Leisure Bra,1,0,visible,"Designed with breathable cotton and spandex for a comfortable, relaxed fit. Ideal bra for post-surgical and/or leisure wear. Constructed with seamless molded cups and adjustable wide straps in a front closure design for easy donning and doffing post-surgery.","Enjoy the smooth comfort of ABC’s Molded Leisure Bra! Designed to give a smooth, seamless silhouette, the Molded Leisure Bra features soft molded cups for an enhanced profile. Breathable cotton with a touch of spandex ensures a comfortable, relaxed fit. Our design features front hook & eye closure and wide adjustable straps making this a great choice for post-surgical wear.",taxable,1,,Mastectomy Bras,Active & Leisure Bras,"https://americanbreastcare.com/wp-content/uploads/2019/05/130-Beige.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/130-Black.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/130-White.webp",,Color,"Beige, Black, White",1,1,Size,"S, M, L, XL, Cup Sizes:, A/B, C/D",1,1
variation,ABC-130-V,130 Molded Leisure Bra,1,,visible,,,taxable,1,27.50,,,,ABC-130,Color,,,1,Size,,,1
